trade_id,timestamp,symbol,side,quantity,price,notional,fee,pnl
1,2026-01-15 01:53:00,BTC,BUY,0.1864411888360259,96545.19,18000.0,18.0,0.0
2,2026-01-15 02:17:00,BTC,SELL,0.1864411888360259,96520.94,17995.478801170724,17.995478801170723,-4.521198829273628
3,2026-01-15 02:58:00,BTC,BUY,0.18683247291208496,96303.96,17992.706998026515,17.992706998026517,0.0
4,2026-01-15 03:07:00,BTC,SELL,0.18683247291208496,96210.99,17975.337183019878,17.975337183019878,-17.369815006636756
5,2026-01-15 03:16:00,BTC,BUY,0.18658874646442958,96378.3,17983.106183372733,17.983106183372733,0.0
6,2026-01-15 03:25:00,BTC,SELL,0.18658874646442958,96165.87,17943.469135961295,17.943469135961294,-39.637047411440186
7,2026-01-15 04:01:00,BTC,BUY,0.18718875606550672,95996.71,17969.50473128119,17.96950473128119,0.0
8,2026-01-15 05:14:00,BTC,SELL,0.18718875606550672,96267.93,18020.274065701276,18.020274065701276,50.76933442008423
9,2026-01-15 05:38:00,BTC,BUY,0.18647253432018043,96379.69,17972.165051293352,17.972165051293352,0.0
10,2026-01-15 05:59:00,BTC,SELL,0.18647253432018043,96429.71,17981.492407460046,17.981492407460046,9.327356166696186
11,2026-01-15 06:05:00,BTC,BUY,0.18618861164288156,96500.92,17967.37231706078,17.967372317060782,0.0
12,2026-01-15 06:14:00,BTC,SELL,0.18618861164288156,96446.09,17957.163595484402,17.957163595484403,-10.20872157637952
13,2026-01-15 06:16:00,BTC,BUY,0.18604142796806403,96532.63,17959.068330712777,17.95906833071278,0.0
14,2026-01-15 06:31:00,BTC,SELL,0.18604142796806403,96433.52,17940.629764786863,17.940629764786863,-18.438565925914933
15,2026-01-15 06:47:00,BTC,BUY,0.1863989557421353,96295.0,17949.287443188918,17.94928744318892,0.0
16,2026-01-15 06:59:00,BTC,SELL,0.1863989557421353,96243.78,17939.740088675808,17.93974008867581,-9.547354513112387
17,2026-01-15 07:23:00,BTC,BUY,0.1859829065364164,96466.44,17941.10889442082,17.94110889442082,0.0
18,2026-01-15 07:55:00,BTC,SELL,0.1859829065364164,96549.27,17956.513858569233,17.956513858569235,15.404964148411693
19,2026-01-15 07:59:00,BTC,BUY,0.18562900873380736,96630.48,17937.420215871996,17.937420215871995,0.0
20,2026-01-15 08:01:00,BTC,SELL,0.18562900873380736,96492.83,17911.86838281979,17.91186838281979,-25.551833052207503
21,2026-01-15 08:04:00,BTC,BUY,0.18558131344455323,96595.76,17926.368013974836,17.926368013974837,0.0
22,2026-01-15 08:24:00,BTC,BUY,4.456884031845459e-05,96546.28,4.302955736660806,0.004302955736660806,0.0
23,2026-01-15 08:31:00,BTC,SELL,0.18562588228487167,96347.04,17884.504305535822,17.884504305535824,-46.166664175676544
24,2026-01-15 08:47:00,BTC,BUY,0.18556005692559174,96527.3,17911.611282873673,17.911611282873675,0.0
25,2026-01-15 09:15:00,BTC,SELL,0.18556005692559174,96573.96,17920.26951512982,17.92026951512982,8.658232256148759
26,2026-01-15 09:24:00,BTC,BUY,0.18525281011643,96660.99,17906.72002613614,17.90672002613614,0.0
27,2026-01-15 10:03:00,BTC,SELL,0.18525281011643,96945.56,17959.437418310972,17.959437418310973,52.71739217483108
28,2026-01-15 10:48:00,BTC,BUY,0.18493659095094767,96842.67,17909.75324838761,17.90975324838761,0.0
29,2026-01-15 11:04:00,BTC,SELL,0.18493659095094767,96800.01,17901.863853417643,17.901863853417645,-7.889394969968073
30,2026-01-15 11:26:00,BTC,BUY,0.18488648357069146,96826.37,17901.88706621469,17.90188706621469,0.0
31,2026-01-15 11:34:00,BTC,SELL,0.18488648357069146,96740.12,17885.94060700672,17.88594060700672,-15.946459207972138
32,2026-01-15 12:32:00,BTC,BUY,0.18516783058180564,96628.96,17892.574894576075,17.892574894576075,0.0
33,2026-01-15 13:10:00,BTC,SELL,0.18516783058180564,96878.84,17938.844632081855,17.938844632081857,46.26973750577976
34,2026-01-15 13:27:00,BTC,BUY,0.18454825335718752,96963.55,17894.45379181232,17.89445379181232,0.0
35,2026-01-15 13:30:00,BTC,SELL,0.18454825335718752,96848.16,17873.158768857436,17.873158768857436,-21.295022954885763
36,2026-01-15 13:48:00,BTC,BUY,0.18434219058853785,97016.22,17884.18251741952,17.884182517419518,0.0
37,2026-01-15 14:22:00,BTC,SELL,0.18434219058853785,96909.74,17864.55376096565,17.86455376096565,-19.62875645386676
38,2026-01-15 15:09:00,BTC,BUY,0.18557102967977196,96320.07,17874.214568727715,17.874214568727716,0.0
39,2026-01-15 15:16:00,BTC,BUY,3.5026281308327498e-06,96296.71,0.3372915653526434,0.00033729156535264337,0.0
40,2026-01-15 15:23:00,BTC,SELL,0.1855745323079028,96124.58,17838.27397679359,17.83827397679359,-36.27788349947991
41,2026-01-15 15:56:00,BTC,BUY,0.18608016408331526,95986.89,17861.256241047133,17.861256241047133,0.0
